,PC1,PC2,PC3,PC4,PC5
292-Liver-KRAS,84.29362887444485,-22.44036081145731,-6.58144218199368,-27.585086134679187,20.19192694131259
316-Liver-KRAS,-48.07434062699911,2.9728259710720684,21.775121493843265,-7.340344619078583,-22.092518729254547
341-Liver-WT,8.171804677743019,-12.023108444637863,16.482774856314073,-19.285963957020567,15.72780972967187
376-Liver-WT,15.65707127413908,-10.022179465411279,20.060245118406414,-11.136218099590069,9.788489240894107
379-Liver-WT,3.852571363408099,-12.10119018883118,19.506224223843436,-11.053196375134279,18.33312606776661
Chol-410,50.515179420500225,-14.856611764777623,18.32854366615014,-22.117008385064192,-3.5237411582185203
Chol-442,54.9187755433232,-21.772405785876117,11.793387569611863,-12.169977452133153,17.811055026726493
Chol-460,-58.1418710822453,10.969677698774438,19.058900251973682,-2.7945172904452265,-13.336469043757873
Chol-611,11.703057485907792,-5.359396655421519,23.067319323520383,-13.109997700615981,5.402397598548285
Chol-ALK-28,85.38080415954784,-5.923950835041567,-11.175236610989016,-5.872443524397418,2.268238360166976
VU256-CRC,-107.92040289967363,-17.90823210890564,-41.08443314882018,-14.998576540129974,-22.232843395986777
VU258-CRC,-112.6190696605885,-94.39536578238845,-108.19037733998515,15.74845355198624,57.630340085433666
VU272-CRC,-90.69996900869953,-35.1117924968758,-42.99170459847334,-5.063970881316015,6.45033209933191
VU276-CRC,-88.80193796136906,-44.212636198827205,-50.33390779579817,-5.422885533691237,6.232328123575833
Type-Unknown-1,-58.001278660872686,-12.92612323417933,15.095236849481227,-10.610250600098212,-5.782315773769997
329-CRC-KRAS,-45.74129232269246,-18.511724297804182,26.58963929482862,5.2386228666500525,23.354307246105098
342-CRC-KRAS,13.068899763158663,-23.20409300547543,19.669409624972754,-15.356122991047641,11.494780321413288
Type-Unknown-5,-46.98172497743147,-8.023693739700535,28.980489088283896,-10.627950297658554,0.6244003247875123
354-CRC-WT,-25.36258083820787,-26.679327438963945,20.94272746905377,-8.29651070379007,17.006724006273103
356-CRC-WT,-49.742832470534374,-15.152447713224403,31.37797686469037,-6.243327371113284,10.14187746042741
CRC-357,16.422250118395628,-17.15940954994242,17.832456014285775,-12.77853081734576,11.492549837346182
374-CRC-WT,-64.80023148992295,-5.67603502706043,37.28367083969731,1.9410522667764722,-7.602663187804787
378-CRC-WT,-59.135942147133086,0.04893994737563752,29.234532633994718,-3.8582794669504765,-9.482014763663319
420-CRC-WT,-21.777284057930714,-12.684940860273597,25.542363052686216,-11.907179883041442,12.610886030467451
429-CRC-WT,-11.463373162324801,-3.2985109184863544,28.082121679226578,-8.747535933910802,7.5781617472493465
CRC-450,-53.75855625133347,10.524735334024099,6.339333003122442,-9.1416813600614,-29.034765466271917
453-CRC-KRAS,-19.931692265121157,7.487776308667315,25.63661778963393,-28.59038902666878,2.2008167862389265
CRC-459,-43.09517260397539,-10.424065684442787,-4.477105661239252,-3.9575656948375375,5.413739130853043
462-CRC-KRAS,-3.3163367350057182,-29.602579019652087,19.630230265846283,-18.203561247913363,32.139805763531115
CRC-463,-19.65903784876725,-11.788962993985548,21.73048930890948,-4.147453803296002,7.992105641151625
466-CRC-KRAS,-49.396093207368345,12.147904014979499,32.84378070348992,-13.35462915448474,-26.560062069132325
474-CRC-WT,-54.69407391275951,15.653546297034822,23.642213974324847,-11.821586897197673,-19.50104752637057
CRC-487,-52.26639744891812,-8.882115497043825,14.143076140666034,1.3964444917655925,-4.184755846046308
CRC-496,-43.44920082276595,2.493849735138628,20.392500922051717,-0.9279387968782715,-18.67213476295479
497-CRC-KRAS,-35.46652535139704,7.603398676727445,31.53491108264475,-10.30849522391298,-12.393733338496128
504-CRC-WT,-22.714496537929964,-8.113014504960478,19.81248632332941,-3.81140015148418,11.378568234448462
CRC-511,-18.30923713635985,-10.209285465135933,13.74916262750815,6.493494866919493,11.39558832334576
CRC-523,-12.82714963102714,-14.021578640270535,5.599897083479875,11.504752584601123,26.072556507167896
CRC-524,-2.699826577092929,-3.248449951381554,15.15292851856976,-18.221168504227226,0.39303388485415286
527-CRC-WT,-71.54909404102843,2.155047447359995,28.945546997835127,-2.0984409754973035,-26.334510595282065
CRC-531,-19.30422730149321,-5.224018676279827,19.940420043837246,-2.3462299463706313,15.771993059600906
543-CRC-KRAS,38.949877462113655,-8.067557195749977,33.78171683612026,-25.069008962440318,15.737646471400225
546-CRC-KRAS,-18.323410912357712,5.7261632362868875,32.5186414991087,-15.822210881067477,-1.9007610989372143
548-CRC-KRAS,-55.570223951347174,6.241253697932387,28.777079243022186,-6.620738078914479,-12.410482260913573
CRC-552,-15.975032211097625,-9.58251649839444,26.883120112719944,-3.8840321319714706,5.093636314147052
556-CRC-WT,-21.5695319824861,-5.19056703004021,38.05199951442438,2.2284222430901117,16.81655138579856
CRC-565,-38.128126113859956,-8.701887540123035,28.302183913433428,5.671047334959238,-4.552944577447652
CRC-576,-37.0594650770927,-12.017003532737972,15.323815021826897,7.179680981354166,12.188785422700402
VU280-GBM,-3.9479206884186397,-70.65525496828859,-84.01692979401469,-14.461729707028027,-3.598515700944379
VU284-GBM-vIII,-29.15874079243479,4.236406052528397,24.375844694753578,18.921700817238772,-16.970137788843353
VU306-GBM-vIII,-63.35437928188653,-33.89655744336112,10.895716958374015,17.03467740513997,-5.520151298149632
VU360-GBM-WT,-86.70965631933862,-8.603438097305233,1.6502799437045832,52.214323643638906,1.0159178833269382
