gene_id,PC1,PC2,PC3,PC4,PC5
ENSG00000000003,0.0013061402145509544,0.0007970872727718309,0.003736193200281453,-0.00401479458644115,-0.000254848449449074
ENSG00000000005,-2.3386587490048728e-05,-9.813422217336717e-05,5.845962189191435e-05,0.0002447231735560684,0.0007872638878353875
ENSG00000000419,0.016494176755690808,-0.0038626732627005597,-0.0005930329857382377,-0.012523326101429134,-0.0006154153054246561
ENSG00000000457,0.011429437310025697,-0.0020170541184278993,0.005243977903593033,-0.005297580993102352,-0.013477949380860077
ENSG00000000460,0.004987398924381568,0.0021703545155111635,0.022117969973906425,-0.007948297072915977,0.00809996921186702
ENSG00000000938,0.019357621276852324,0.0016926549322977737,0.002160754030662792,-0.0319421275960271,0.015909705883854222
ENSG00000000971,0.006652758755231027,-0.0015815816503890279,-0.002450122183757354,-0.004432001283809604,-0.009549526372735154
ENSG00000001036,0.003589969024917872,0.0033734190729133727,-0.0013825299913137947,-0.019492780084151947,-0.004076751084429704
ENSG00000001084,0.010584756077116463,0.0030834047737859573,-0.005601006153211693,0.001533169154083709,0.0016933284474460887
ENSG00000001167,0.010452665994384052,-0.0006945827373819358,0.008189096411308685,-0.0037284529820277956,-0.004026873537645273
ENSG00000001460,0.0021735062821824948,-0.0005366695020498205,0.0015815528309266924,-0.004514048784551628,-0.01139208325570864
ENSG00000001461,0.005315348447345953,0.00433940576036213,0.022651840912794066,0.0021147126195964886,-0.02932677522213149
ENSG00000001497,0.017362242582317902,-0.0052417654305695486,-0.0014580324879162202,-0.007077960958956503,0.005342720150619594
ENSG00000001561,0.006901224263538977,-0.000962561918717388,0.007007750512510171,0.0016809185891559222,-0.010025889243088889
ENSG00000001617,7.80020303901822e-05,0.000277379493271309,-4.2140677879144845e-05,0.00019889168898467436,5.5904691549693614e-05
ENSG00000001629,0.0077650494378960115,0.009801038821518096,0.011312887026307311,0.019847799921736787,0.010599584602619788
ENSG00000001631,0.011713972658510433,0.005289742102582493,0.013395513871002372,0.0205062111919604,-0.007019328528292736
ENSG00000002016,0.006000040073475625,-0.002734474273561499,-0.004205583301699245,-0.00048070092546494207,-0.005695595662985682
ENSG00000002079,5.0168649130105027e-05,-9.863255606830468e-05,0.00011760608950203038,-1.0970748589547125e-05,0.00027287454136319114
ENSG00000002330,-0.0027050250943721314,0.015623906634608943,-0.02341762413485658,-0.011389339658596183,-0.0035053781907529546
ENSG00000002549,0.009425607458662505,-0.0025483987615473073,0.0072503888790777255,-0.025489165265518615,0.020552192420387826
ENSG00000002586,-0.0029813368743180644,0.004877992661762357,-0.007294228370296506,-0.0028424539989586636,-0.002073707227712721
ENSG00000002587,0.001257765708418322,-0.0007302724573326016,-0.0017809048156642257,-0.001071235662595712,0.0009235773626153258
ENSG00000002726,0.00026528686178306526,-0.00033189053881663714,-0.00029687290040918325,-0.0003442672354480743,-4.073702366985388e-05
ENSG00000002745,0.0023901982726032543,-0.0005860590862300783,-0.0016255224262968478,0.0020039175507270764,-0.0025858213372738073
ENSG00000002746,-1.7083252802265906e-05,-2.15279932955918e-06,0.0001101464297841231,-2.7704614898408718e-05,-2.5495639871251524e-05
ENSG00000002822,0.015256187027444591,0.005624873191479252,-0.014332059241733468,-0.010749260423447291,0.0076743221356133885
ENSG00000002834,0.006434285465893133,0.014901882374642551,0.01430351632246964,-0.0006022048826656379,-0.003782336392966073
ENSG00000002919,0.0073903193359533175,0.0015969892469619483,0.008400451926653731,-0.015977553730045214,-0.00645415363312482
ENSG00000002933,0.010456808786886332,-0.0021154502682037882,-0.01442375743523408,-0.014569023300872196,0.0045193268762790915
ENSG00000003056,0.00744532831792931,0.0010045147356969857,0.013586822570246538,-0.007735898293954376,-0.022263831911215743
ENSG00000003096,0.001529635481502113,0.003308519032446793,0.008358854166951236,-4.069475748293714e-05,-0.008549509072383143
ENSG00000003147,0.004548552258276963,0.002118312383784756,0.008268896663945303,0.0008151898127276681,-0.0030659794245050916
ENSG00000003249,0.0009728232684654638,0.0006218250491549634,-0.0006684878639123695,-0.0020008336838523433,0.000882953841755714
ENSG00000003393,0.009961549154167948,0.001365188166663696,0.00794690052682818,0.008873863742605202,-0.004476384757601741
ENSG00000003400,0.013118102675376836,-0.005432196863266892,0.0011071221119149225,3.312722879861155e-05,0.0015815173830756566
ENSG00000003402,0.002711054450562515,-0.001816131918415021,0.006713433288998266,-0.002116641341879812,0.0014092587757791111
ENSG00000003436,-0.002066570329394969,-0.0033347234330593366,0.008621861706781449,0.0013351861043982471,0.005374650086202707
ENSG00000003509,0.010885762802766649,-0.004282175936801756,-0.0006975787603932774,-0.007562903869411096,-0.009516982778504553
ENSG00000003756,0.02105654294058317,-0.0026176010314667144,0.00803709865630718,0.009208280441378724,0.006481131365244464
ENSG00000003987,-1.3716857447060293e-05,2.2550587450233544e-06,6.455779414757016e-05,-5.304922827339923e-05,-6.761801432393772e-05
ENSG00000004059,-0.002571940548195967,0.008979577594490994,-0.01388782556602132,-0.006251232852673271,-0.011267684741765295
ENSG00000004139,0.0017641775032314281,0.0010784030648534613,0.0008641675033476114,-0.0025189101251782585,-0.0015098961891586032
ENSG00000004142,0.010235128270042528,0.017708857234285832,-0.015625708891454797,-0.014708659736567115,0.0018273536998799557
ENSG00000004399,0.008071194028184426,0.00257790379275383,-0.007500679203765448,0.005588876959438328,0.0007168620617894564
ENSG00000004455,0.010340853964819301,-0.002135079892375105,-0.005778452432337514,-0.01593118885170366,0.006143473332588887
ENSG00000004468,0.013832153098539798,-0.007807786837743417,-0.007421021334996129,0.001989769464648762,-0.00047702673928083975
