,explained_variance_ratio,cumulative_explained_variance
PC1,0.2444967421258105,0.2444967421258105
PC2,0.06369219232434535,0.3081889344501558
PC3,0.04270058859750556,0.3508895230476614
PC4,0.020955579623052906,0.3718451026707143
PC5,0.014763915192479524,0.38660901786319385
