,PC1,PC2,PC3,PC4,PC5
Breast-ALK-82,-60.08356815508466,2.9108628365898954,15.221058998989411,0.06827257624530565,-14.869362912451885
292-Liver-KRAS,83.92434267828953,-22.36532162598351,-6.931058667216669,-26.57082583781068,18.796287941453873
316-Liver-KRAS,-47.631421940167506,3.4800377542174963,22.018268160340792,-7.650435958357521,-21.508731196715484
341-Liver-WT,8.716073218165164,-11.913058503260348,15.95738589980893,-19.135982969759283,14.98098142210425
376-Liver-WT,15.961477950565042,-9.891991530964463,19.450484899581568,-10.701689615691544,9.030447621806077
379-Liver-WT,4.300679607733211,-11.844426817303033,19.005918868943063,-11.342249216623728,17.294275868151075
Chol-410,50.65142500625679,-14.874951856108476,17.781090254981564,-21.731659304117212,-2.8708215430608433
Chol-442,54.979862630218996,-21.58876478791249,11.29139092660748,-12.058965408239255,16.68821817413563
Chol-460,-57.603434413178285,11.382602321186278,19.10493481354215,-3.181423007624646,-13.101558923715542
Chol-611,12.139361823374296,-5.23566266095892,22.466960733174254,-12.890521749163058,4.213136784998715
Chol-ALK-28,84.79950852399692,-6.012217917392464,-11.42615211279429,-5.906236457455108,2.0523059974715596
VU256-CRC,-107.62958755304952,-17.699449689447118,-40.30217942498819,-14.71691055586768,-22.038373931611325
VU258-CRC,-113.70360736107031,-93.52166552118368,-104.51263377808303,14.902134441827341,55.62786932929103
VU272-CRC,-90.51373135827205,-34.83048386695497,-42.44791440373789,-5.004033029635791,6.17582711931013
VU276-CRC,-88.67236136405128,-44.08165428534456,-49.47030293779486,-5.015178326577242,6.263361649034374
Type-Unknown-1,-57.401316068867054,-12.690620481355504,15.02377273593895,-10.641945822304054,-5.073972849753758
329-CRC-KRAS,-45.37238050083552,-18.237574935997976,26.29402919588529,5.091540175542042,22.803538279176266
342-CRC-KRAS,13.513865334683882,-23.067985653257114,19.077000677356157,-14.822777438021056,11.1962894685721
Type-Unknown-5,-46.41860922175697,-7.809164714284362,28.79571056220566,-10.643780396850168,0.4503810057562491
354-CRC-WT,-24.934418606381342,-26.52806811880171,20.534079565833792,-8.245822376752589,17.134323230763094
356-CRC-WT,-49.229403867415066,-14.924767268633461,31.209453523842928,-6.272075491191905,10.039375191490313
CRC-357,16.831198675480326,-17.00703369853307,17.293498920750345,-12.580273799820212,10.809416887626517
374-CRC-WT,-64.38010851418414,-5.175999031140536,37.389839353409556,1.9907643039322582,-7.068755158029436
378-CRC-WT,-58.630098576274285,0.31580064071369757,29.106502508645892,-3.9668390212039184,-8.94213556964118
420-CRC-WT,-21.236550682830913,-12.627371906988545,25.063354191502842,-11.984139320538244,12.124289958292483
429-CRC-WT,-10.865292492020874,-3.4012244867592227,27.500376306544652,-8.433507439016285,7.807389141423429
CRC-450,-53.25926030936087,10.720467583599843,6.662554209951942,-9.358811451599536,-28.892142717049968
453-CRC-KRAS,-19.317382226055248,7.3015662430253405,25.216172868524612,-28.51139835195282,2.4074163953233896
CRC-459,-42.77328997564749,-10.213191554586032,-4.42523304453527,-4.272032706094928,4.737158298140224
462-CRC-KRAS,-2.862202722494799,-29.662500516715486,18.806737865133204,-18.045348187687907,31.289495412476573
CRC-463,-19.130843847573605,-11.519833073226966,21.35065424312332,-4.438620236717302,7.09556480473699
466-CRC-KRAS,-48.79119447747073,12.057744960518859,32.913141584711184,-12.945921371810703,-25.71730406808103
474-CRC-WT,-54.08083945981519,15.76979401425017,23.70361502649753,-11.844619101947638,-18.897890521953975
CRC-487,-51.86360318551954,-8.44312698331419,14.182992923794707,0.7795816996883183,-4.55261448725454
CRC-496,-42.8745693742942,2.722656364548244,20.37654207981622,-1.0039314989422885,-18.339634966967957
497-CRC-KRAS,-34.78315294469796,7.767590061512111,31.379619949357718,-10.162123838213216,-11.747111182241628
504-CRC-WT,-22.2624453129465,-8.041706670883993,19.48293927190612,-3.9863295772481244,10.984030556067497
CRC-511,-17.825993077992067,-10.001196518050614,13.384057459886252,6.1035876223661525,10.261652984488732
CRC-523,-12.602386917031025,-13.635711891582098,5.402441123175989,10.952035771981103,24.655719860086123
CRC-524,-2.2946683765699207,-3.276893584497531,14.683049841154483,-18.10990374574033,1.0443295931020307
527-CRC-WT,-71.04941395790381,2.488272274293298,29.142035171678646,-2.094253620613494,-25.369788345911637
CRC-531,-18.90028252662095,-5.006770709560804,19.48079649081273,-2.7634282041356517,14.60550243358066
543-CRC-KRAS,39.561312747778864,-8.46492419360942,32.73708748928083,-24.454997534409863,15.296406503273962
546-CRC-KRAS,-17.623929406980338,5.527650973096305,32.004561236784326,-15.679304464294654,-1.4657724580065512
548-CRC-KRAS,-54.98307302034307,6.364052988209681,28.84504987359895,-6.545356471580358,-11.822953196753716
CRC-552,-15.52873209418364,-9.26576743546966,26.54524647639112,-4.059705964405906,4.94201020821923
556-CRC-WT,-21.08124724392817,-4.965398094215719,37.53461141389737,2.041640373321047,15.79329085204845
CRC-565,-37.681918221778524,-8.358223918966752,28.289106022936856,5.27057264544979,-4.3097916977807715
CRC-576,-36.60483277430415,-11.769819383557268,15.137710671548497,6.769428517256751,11.73869062500649
VU280-GBM,-4.316725641761949,-70.85178497684288,-83.08287464477255,-12.383560005270466,-3.400221494691639
VU284-GBM-vIII,-28.722641930599547,4.355165546593033,24.343486799464365,18.902796383177343,-15.911254384462048
VU306-GBM-vIII,-63.23120267709425,-33.40250505038047,11.052409726873822,16.975618470364797,-5.139834636794956
VU360-GBM-WT,-86.55557191858216,-7.9703940809835965,2.312118416853801,51.955216663565814,2.546627456334828
VU372-GBM-vIII,-41.48925916640039,10.353542031965214,33.451150084920094,11.63558030436099,-20.168432034076957
VU378-GBM,5.713647426169963,-4.3877716790399806,50.58281043937654,-7.685517244940747,-16.202204624742564
VU383Platelet-hiseq,-131.01659835987257,-68.53565006307815,-43.355371870104655,22.305515734447138,0.5535490427033541
VU393-GBM-vIII,-83.48201664192314,-13.200613675374552,13.332873846475623,16.559017497720205,-4.75985920932673
VU394Platelet-hiseq,-58.02329978904172,-64.90182738896652,13.387470473336382,19.469540077714868,44.20983420002077
VU398-GBM,-103.98901286901334,-34.60249109794179,-51.31370635639283,7.374246299034862,-15.489326404486063
VU402-2-GBM,-58.47880727681193,-5.931952312526366,37.480362917297924,14.393133759453713,-10.063563545056073
VU406-2-GBM,-50.73684835409961,-1.2569626055436993,47.37820145362721,18.35950278740247,-15.600096136523188
VU408-GBM,73.41647123915347,-28.22378683263095,34.848720049479425,5.933348183757743,9.174114077161956
VU417-GBM-vIII,-82.3839225495309,-14.862973215445392,37.20224571227693,11.399885424780008,8.950611432850643
VU418-GBM,-110.2847573659139,-27.43308371230771,-40.81509749642611,9.905615298348419,1.3443330402083806
VU419-GBM,-84.61585944829666,-30.890544018599233,-57.77680460730594,-9.313278311794662,-8.702906658299403
VU421-GBM,-39.99185880073225,-18.47647235147702,38.27634517487287,23.319877707010843,27.782646472627327
VU422-GBM,-24.31115461042918,-11.615503002851208,41.72848389042151,9.350351711956385,10.288741452348663
VU425-GBM,53.874186237478824,-9.899715650097116,20.337783085108754,12.397005570883767,-12.875933855135543
VU429-1-GBM-vIII,-24.456470883893076,7.704004098228839,28.796288874177172,18.10339994850684,-7.301080334834878
VU430-GBM,-35.11123435000168,15.788163357446367,38.48051567351217,11.699802337687986,-29.096800288265143
VU431-1-GBM-vIII,121.53925733463251,0.39442794390110564,-2.7662403880986823,-3.0164755970280916,-9.726488365168988
VU436-1-GBM-vIII,89.58947932433001,-1.0836509352255461,-1.1325457776354544,44.23231833092207,-8.356928500466754
GBM-438,-45.55303184249844,-0.379382985621277,9.422473279792294,31.777956206400777,-17.022616838825265
VU439-1-GBM-vIII,106.03243320584257,-7.036282607072418,9.540550661762408,19.05827323178848,-16.777463291017515
GBM-440,183.1163524440289,-14.66231302555187,-14.717821877352074,-9.08536926656492,-25.490024205162868
VU443-1-GBM-WT,66.2067215598945,-5.922136300570386,13.01701064732158,15.89493526413313,-24.80376164584455
VU445-1-GBM-WT,6.305084052388731,3.140125249992923,8.936035176009606,33.414825203333024,-3.4665343066107757
VU454-1-GBM-WT,121.43082317461106,-7.540601406532137,17.52597710545106,-10.425452065336332,-11.413721507224523
VU456-1-GBM-WT,79.69303424871227,8.945569844942463,0.15536251133135814,40.5686687556358,-21.376420787229385
VU468-1-GBM-WT,50.254465160330774,-5.301864505290257,4.560838170874382,36.62325495141393,0.17258831208760822
GBM-471,45.14545352286194,7.029197300987212,3.0699591286801957,26.748791144727562,-13.661016648547102
GBM-475,-71.778153337197,10.362381285069908,19.97488258221277,28.2310402128429,-10.50860318918793
GBM-476,58.932769258758114,-6.142950392088854,2.4230067686051693,17.827236464625003,-15.914748319500294
GBM-480,136.6307075955543,-29.87748613270789,14.752098864424624,-18.602133629169337,0.3454932356463207
GBM-484,108.85327144333014,-7.310713736563943,-8.7242542483828,27.7543603724238,-5.102449142014556
GBM-485,64.51833524417908,-6.837273493067223,-11.39420307628212,8.131388987121035,-6.3177808134029485
GBM-486,162.16216102488366,-15.869188615266323,-15.75848675860601,-18.47695279071345,-11.440061899059453
GBM-499,-46.6068040667354,4.841761373413511,12.824132877745292,27.190988898705495,-5.8023166407974
GBM-505,-70.8789731740681,10.80838496942825,10.789934780126277,28.510364043930025,-15.68432930529784
HD-1,148.86121388627063,-38.46159685015354,-54.082052762507466,-17.7596908630017,-1.1894555634760324
HD-2-1,98.86868337282952,-19.051673045988252,13.149031333128688,-10.592381293549206,5.7690261218848935
HD-3-1,49.17237911633322,-18.04969453948951,8.336768566576334,18.53930675990195,6.556361501299445
HD-4,83.37085481622276,-36.2191333697932,-48.932958074108676,11.211518502202185,1.264679472878555
HD-5,30.02695039793731,-26.389186253354588,-48.475344220129855,16.264573049698424,8.269302131143052
HD-7,67.94471458676256,-15.971969361214077,-58.000359969468846,-15.830008105728167,-2.9377466221470416
HD-8,79.69476525324458,-14.81653140743448,-62.29723375934408,-24.779889010423396,-12.623247215819733
